Firm,URL,US Based,Hiring
Peak6,https://peak6.com,Unknown,Unknown
PGIM Quant Solutions,https://www.pgimquantitativesolutions.com,Unknown,Unknown
Prime Trading,https://www.prime-trading.com,Unknown,Unknown
QMS Capital Management,https://www.qmscapital.com,Unknown,Unknown
Qsemble Capital Management,http://www.qsemble.com,Unknown,Unknown
Quadeye,https://www.quadeye.com,Unknown,Unknown
Quadrature,https://quadrature.ai,Unknown,Unknown
Quantbot Technologies,https://www.quantbot.com,Yes,Yes
Quantbox Research,https://www.quantboxresearch.com,Unknown,Unknown
Quantitative Investment Management,https://www.quantitative.com,Unknown,Unknown
Quantlab Financial,https://www.quantlab.com,Unknown,Unknown
Quantumrock Capital,https://www.quantumrock.ai,Unknown,Unknown
Qube Research & Technologies,https://www.qube-rt.com,Unknown,Unknown
QVR Advisors,https://www.qvradvisors.com,Unknown,Unknown
Radix Trading,https://radixtrading.co,Yes,Yes
Renaissance Technologies,https://www.rentec.com,Unknown,Unknown
Rokos Capital Management,https://www.rokoscapital.com,Unknown,Unknown
Rosetta Analytics,https://www.rosetta-analytics.com,Unknown,Unknown
RSJ,https://www.rsj.com/en/,Unknown,Unknown
Schonfeld Strategic Advisors,https://www.schonfeld.com,Unknown,Unknown
Segantii Capital Management,https://www.segantii.com,Unknown,Unknown
Sensato Investors,http://www.sensatoinvestors.com,Unknown,Unknown
Seven Eight Capital,https://www.seveneightcapital.com,Unknown,Unknown
Spark Investment Management,https://www.sparkim.com,Unknown,Unknown
Squarepoint Capital,https://www.squarepoint-capital.com,Unknown,Unknown
Stevens Capital Management,https://www.scm-lp.com,Unknown,Unknown
Summit Securities Group,https://www.ssgllc.com,Unknown,Unknown
Sumo,https://sumo.co,Unknown,Unknown
Sunrise Futures,https://www.sunrisefutures.com,Unknown,Unknown
Susquehanna International Group,https://sig.com,Unknown,Unknown
Systematica Investments,https://www.systematica.com,Unknown,Unknown
Tanius Technology,https://www.tanius.com,Unknown,Unknown
Teza Technologies,https://www.teza.com,Yes,Yes
TGS Management Company,https://www.tgsmc.com,Unknown,Unknown
Tower Research Capital,https://www.tower-research.com,Yes,Yes
Tradebot,https://www.tradebot.com,Yes,Yes
Tradelink Holdings,https://tradelinkllc.com,Yes,Unknown
TransMarket Group,https://www.transmarketgroup.com,Yes,Yes
Trexquant Investment,https://trexquant.com,Yes,Yes
Two Sigma,https://www.twosigma.com,Unknown,Unknown
Valkyrie Trading,https://www.valkyrietrading.com,Yes,Yes
Vatic Investments,https://vaticinvestments.com,Yes,Yes
Vector Trading,https://vectrading.com,Unknown,Unknown
Verition Fund Management,https://www.verition.com,Unknown,Unknown
Virtu Financial,https://www.virtu.com,Unknown,Unknown
Volant Trading,https://www.volanttrading.com,Yes,No
Voleon Group,https://voleon.com/index.html,Unknown,Unknown
Voloridge Investment Management,https://www.voloridge.com,Unknown,Unknown
Volterra Technologies,https://www.linkedin.com/company/volterra-technologies,Unknown,Unknown
Walleye Capital,https://walleyecapital.com,Yes,Yes
WH Trading,https://whtrading.com,Unknown,Unknown
Wincent,https://www.wincent.com,Unknown,Unknown
Winton Capital Management,https://www.winton.com,Unknown,Unknown
Wintermute,https://www.wintermute.com,Unknown,Unknown
Wolverine Trading,https://www.wolve.com,Yes,Yes
WorldQuant,https://www.worldquant.com,Unknown,Unknown
Xantium,https://www.xantium.com,Unknown,Unknown
XR Trading,https://www.xrtrading.com,Unknown,Unknown
XTX Markets,https://www.xtxmarkets.com,Unknown,Unknown
